epoch,training_loss,training_lane_loss,training_instance_loss,training_drivable_loss,val_loss,val_lane_loss,val_instance_loss,val_drivable_loss
0,0.29361184043859045,0.23351879244443602,0.06009304763936492,0.0,0.21285139583051205,0.1512074563652277,0.06164393527433276,0.0
1,0.1407195014297647,0.08584858082905017,0.0548709208569514,0.0,0.2043437734246254,0.12303101178258657,0.08131276071071625,0.0
2,0.12029663792678288,0.06761183337402091,0.05268480478928833,0.0,0.1534209679812193,0.09106333507224917,0.06235763058066368,0.0
3,0.10890778292108465,0.05708588573037001,0.051821897427241005,0.0,0.12752749491482973,0.06740299984812737,0.06012449599802494,0.0
4,0.10793525244666155,0.053055300618763325,0.05487995205456933,0.0,0.13571689743548632,0.064565300475806,0.0711515974253416,0.0
5,0.10627567121591518,0.049261508677056226,0.05701416243045103,0.0,0.12388108484447002,0.06101984158158302,0.062861243262887,0.0
6,0.09622198453655949,0.045086148594106944,0.051135836031149934,0.0,0.18132374342530966,0.08136166771873832,0.09996207570657134,0.0
7,0.09278767717578423,0.042815064686158345,0.0499726124304943,0.0,0.15844610007479787,0.07030200771987438,0.0881440918892622,0.0
8,0.08885975568382828,0.04018032468027539,0.04867943088528971,0.0,0.13252764847129583,0.06026307167485356,0.07226457819342613,0.0
9,0.0872009642934673,0.03832026257637947,0.04888070142142987,0.0,0.1229531979188323,0.05727340001612902,0.06567979836836457,0.0
10,0.0841380641968162,0.03652088953152535,0.047617174428764474,0.0,0.16751763503998518,0.07166466163471341,0.0958529724739492,0.0
11,0.08303009458477535,0.034986275982446774,0.04804381844464433,0.0,0.13146663643419743,0.05556870484724641,0.07589793158695102,0.0
12,0.081722300401125,0.033654638028964796,0.04806766228346282,0.0,0.12180478684604168,0.05218849144876003,0.06961629679426551,0.0
13,0.08178244397123025,0.03413808397042058,0.04764436000080966,0.0,0.1298859864473343,0.054288549814373255,0.07559743709862232,0.0
14,0.07850700439441771,0.03160057948143394,0.04690642505095749,0.0,0.11608309298753738,0.04763985937461257,0.06844323500990868,0.0
15,0.07667035530641596,0.0300638016668104,0.046606554221066215,0.0,0.12083186581730843,0.0495690512470901,0.07126281270757318,0.0
16,0.07589348468673292,0.02947150921774289,0.046421975508411095,0.0,0.12624333798885345,0.05280944425612688,0.07343389326706529,0.0
17,0.07512841219939882,0.028566581655352835,0.04656183059332232,0.0,0.120801517739892,0.05082580726593733,0.06997571187093854,0.0
18,0.07358246399138971,0.027486961650312263,0.04609550243963009,0.0,0.14468669705092907,0.05802524136379361,0.08666145894676447,0.0
19,0.07153201800963235,0.026301952325320118,0.04523006607852285,0.0,0.1273683812469244,0.052993484772741795,0.07437489740550518,0.0
20,0.07162830221747594,0.02671736611851624,0.044910936167946565,0.0,0.1258585173636675,0.05199089040979743,0.07386762835085392,0.0
21,0.07072526792054454,0.025249708916932817,0.04547555933869074,0.0,0.12135951686650515,0.05172301176935434,0.0696365050971508,0.0
22,0.07082675070201279,0.02531619659728474,0.04551055428212282,0.0,0.12430235650390387,0.05429300479590893,0.07000935217365623,0.0
23,0.06935407836285848,0.0243962636739804,0.04495781488598339,0.0,0.12784173525869846,0.05636749416589737,0.0714742410928011,0.0
24,0.06905074914296468,0.024127934808059345,0.044922814374326395,0.0,0.13586282543838024,0.05838770605623722,0.07747512310743332,0.0
